huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
7260,20,1902,RV,2636.7697069161914,2636.7697069161986,1222767.2000000002,4396041.8,1914317.8900000001
7260,20,1902,ZJ,614503.0,0.0,0.0,614503.0,0.0
7260,20,2000,RV,1712.2211954214424,1712.2211954214424,4841.75,0.0,0.0
7260,20,2000,ZJ,0.0,0.0,574714.5,0.0,0.0
7260,20,2001,RV,0.0,0.0,285722.0,0.0,0.0
7260,20,2200,RV,6120.925,0.0,427000.0,0.0,12241.849999999999
7260,20,2800,RV,6775.533192578455,6775.533192578455,5561674.98,3245750.0,8476504.0
7260,20,2800,ZJ,4253442.123528201,4253442.123528201,25957632.91,23227497.0,20174953.0
7260,20,2803,RV,4710334.950177584,4710334.950177584,8854449.76,0.0,13000414.0
7270,10,101,DR,0.02697595284805642,0.026975952848056414,0.0,35970.0,0.0
8131,10,201,SA,44323308.11060121,44323308.11060121,0.0,8476472.42,24725037.68
8131,10,1500,SA,2293767.3603548165,2293767.360354817,0.0,191795.66,1077042.46
8131,10,1600,SA,17365892.55716014,17365892.55716014,0.0,737516.52,7825969.550000001
8131,10,1701,RV,22896765.884886745,70817.10549935562,11600442.879999999,10221710.559999999,14536031.43
8131,10,2000,SA,2088723.5888711496,2088723.5888711496,0.0,405493.26,1163519.39
8131,10,2200,RV,119470861.41774783,207641.91936488324,60902325.120000005,53428619.16,76534406.3
8270,10,200,DR,3024.3481625371005,3024.348162537101,8862.0,4431.0,1899.0
8270,10,1600,DR,8779292.565415224,8779292.565415222,11320354.07,13122707.47,10625054.0
8270,10,1600,KG,89990.00000000001,0.0,0.0,134990.0,44990.0
8270,10,1600,RV,2292525.251758992,2292525.251758992,690425.39,8327513.04,4113076.8
8270,10,1600,ZW,-8955031.42,0.0,-8600416.98,-12445116.75,-8955031.42
8272,10,1701,RV,882915.1218299678,5180.238498669161,36034.56,85840.32,778238.5
8290,10,1900,RV,876900.9378722374,876900.9378722374,571336.08,1344441.84,1776232.08
8290,10,1900,ZW,-231075.37,0.0,-183648.59999999998,-210757.5,-231075.37
8290,10,1901,DR,0.0,0.0,91779.5,0.0,0.0
8290,10,1901,KG,7634.614981044611,7634.614981044611,54834.58,0.0,73124.0
8290,10,1901,RV,28954931.952199582,35800150.02147465,54999566.63,50936712.96,56620036.31
8290,10,1901,SA,3594.0,0.0,43000.0,3594.0,0.0
8290,10,1901,ZW,31963.35581967213,0.0,33753.0,48152.45,33912.68
8290,10,2000,SA,308410.2382564296,308410.23825642955,810935.6,574622.13,979915.15
8290,10,2000,ZW,27424830.07804859,27424830.078048587,14261582.0,35971832.35,29383913.27
8290,20,1901,RV,393735.70427335484,19509.876148354782,1755.0,446590.5,103332.0
8990,10,1101,RV,0.0,0.0,77430.0,0.0,0.0
8990,10,2200,DR,87500.00000000001,0.0,0.0,87500.0,0.0
8990,10,2200,KG,287.97052450966066,287.97052450966066,4827858.04,2558841.0,0.0
8990,10,2200,RV,60116709.60279602,60116709.60279602,14771751.52,4607349.74,28823124.3
8990,10,2200,SA,12286.133642265495,12286.133642265495,6818.36,6871057.68,1410456.56
8990,20,201,RV,1777251.0,0.0,0.0,1777251.0,0.0
9020,10,300,DG,0.0,0.0,0.0,-1034688.0,0.0
9020,10,300,DR,1378581.5,0.0,0.0,0.0,2757163.0
9020,10,300,RV,12412553.426283758,12036647.752455633,18465704.74,21848092.61,12793309.5
9020,10,300,ZW,259033.67378182273,259033.67378182273,572818.0,592591.0,549308.52
9020,20,300,DG,-1722475.0,0.0,0.0,0.0,-1722475.0
9020,20,300,DR,27427.895,0.0,0.0,0.0,54855.79
9020,20,300,RV,2061511.8017357108,1060436.4021080255,1476443.0,2334560.0,1718325.62
9030,10,300,RV,490589.67484128155,19241.00815870989,235551.0,675560.4199999999,-366948.5
9030,10,300,ZW,12917.664858380886,12917.664858380886,39010.0,38324.0,36604.4
9030,20,300,RV,7246414.444683316,6937604.100933317,2015566.0,1983400.0,3217259.56
9030,20,300,ZJ,5462184.12397336,5462184.12397336,4649460.0,4158009.92,4267386.29
9035,10,300,RV,137185.5,0.0,0.0,0.0,137185.5
9035,10,300,ZC,33700760.805143155,33700760.805143155,32725278.82,29317766.240000002,31565801.96
9133,10,201,ZC,18459749.192594167,18459749.19259417,15731123.59,16381990.54,17368997.29
9134,20,201,RV,18854760.79484889,18854760.79484889,16178644.0,16605600.0,15819945.5
9135,10,201,ZC,19618384.483674716,19618384.483674716,11269976.69,10367775.35,13411576.76
9135,10,600,DG,-2000.0,0.0,0.0,0.0,-2000.0
9135,10,600,DR,3777955.23240797,3777955.23240797,2756855.5,2986093.05,2919662.4
9135,10,600,KG,2700.0,0.0,0.0,0.0,2700.0
9135,10,600,KR,-8600.0,0.0,-300.0,-5400.0,-8600.0
9135,10,600,SA,-43700.0,0.0,18700.0,-32756.0,-43700.0
9135,10,600,ZC,3667527.3153051143,3667527.3153051143,2359469.91,2087134.6099999999,2458117.94
9135,10,1500,DR,3991642.4032630404,3991642.40326304,1426428.92,1667019.05,2638291.9699999997
9135,10,1500,KG,3537.08,0.0,127600.0,0.0,7074.16
9135,10,1500,ZW,65569.18259707584,65569.18259707584,101117.6,92812.4,73183.76
9135,10,1600,DG,0.0,0.0,-31792.0,0.0,0.0
9135,10,1600,DR,761123.3600639121,761123.3600639121,3321470.86,4360991.04,4198588.1899999995
9135,10,1600,ZW,67257062.11323695,67257062.11323695,51973277.81,59087904.29,62476047.83
9135,10,2000,ZW,17419.760846595025,17419.760846595018,33551.56,158308.85,76552.0
9135,10,2200,ZW,0.0,-21981.522118810128,2060351.18,2015799.92,194347.64
9135,10,2600,ZC,29619614.56846583,29619614.56846583,39371011.48,36694992.72,33589028.53
9136,10,201,RV,25726030.621034123,6169088.308429064,15649906.0,13272918.14,7236286.25
9136,10,201,ZW,21256.020193284785,21256.0201932848,264593.0,268261.0,251969.08000000002
9136,10,500,RV,509748.36499999993,0.0,0.0,0.0,1019496.73
9136,10,700,RV,2205347.515482027,3.8102858500149344,367145.0,0.0,0.0
